title,platform,platforms_available,appId,store_url,genre,contentRating,score,free,price,offersIAP,IAPRange,installs,developer,developerWebsite,privacyPolicy,released,updated,app_type,web_accessible,web_url,login_required,login_methods,age_verification_required,age_verification_method,subscription_required_for_long_chat,all_features_available_without_subscription,subscription_features,subscription_cost,languages_supported
DeepLove AI：Dream AI Love Chat,android,android+ios,com.deeplove.ai,https://play.google.com/store/apps/details?id=com.deeplove.ai&hl=en&gl=us,Entertainment,Everyone,4.366337,TRUE,0,TRUE,$1.99 - $29.99 per item,"100,000+",Onesoft Technology Limited,https://www.soulmateapp.net/,https://www.deeploveai.net/privacy,26-May-25,1.77E+12,companion,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, voice calls, premium characters",$9.99/month,en
HalFind-My Perfect Boy,android,android,com.perfect.boyai,https://play.google.com/store/apps/details?id=com.perfect.boyai&hl=en&gl=us,Entertainment,Mature 17+,4.597701,TRUE,0,TRUE,$4.49 - $104.99 per item,"100,000+",FineTip Apps,https://www.halfind.top/,https://www.halfind.top/privacy-policy.html,29-Sep-25,1.77E+12,companion,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, voice calls, premium characters",$9.99/month,en
Boyfriend Ai,android,android,love.boyfriendsimulator.app,https://play.google.com/store/apps/details?id=love.boyfriendsimulator.app&hl=en&gl=us,Entertainment,Mature 17+,,TRUE,0,TRUE,$12.99 - $19.99 per item,0+,WhatsGood,,https://www.whatsgoodapps.com/pp-bf-sim/,06-Apr-26,1.78E+12,companion,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, voice calls, premium characters",$9.99/month,en
"Character AI: Chat, Talk, Text",android,android+ios,ai.character.app,https://play.google.com/store/apps/details?id=ai.character.app&hl=en&gl=us,Entertainment,Teen,2.7261338,TRUE,0,TRUE,$0.99 - $94.99 per item,"50,000,000+",Character.AI,https://character.ai/,https://policies.character.ai/privacy,22-May-23,1.78E+12,mixed,TRUE,https://character.ai,TRUE,"email/password, Google, Apple",TRUE,self-declaration,FALSE,FALSE,"c.ai+: priority access, no wait times, faster responses",$9.99/month,"en, es, fr, de, pt, ja, ko, zh"
MyMate: AI Boyfriend Chat,android,android+ios,com.iosappv2.ai_boyfriend_chat,https://play.google.com/store/apps/details?id=com.iosappv2.ai_boyfriend_chat&hl=en&gl=us,Lifestyle,Everyone,,TRUE,0,TRUE,$2.99 - $29.99 per item,"1,000+",We Agency,http://heylove.app/,https://sites.google.com/view/mymateapp,21-Dec-25,1.77E+12,companion,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, voice calls, premium characters",$9.99/month,en
AI Boyfriend,android,android,caitty.com.aiboyfriend,https://play.google.com/store/apps/details?id=caitty.com.aiboyfriend&hl=en&gl=us,Social,Everyone,0,TRUE,0,TRUE,$0.99 - $59.99 per item,0+,Caitty,https://caitty.com/ai-boyfriend-app/,https://caitty.com/ai-boyfriend-app/privacy,05-Apr-26,1.78E+12,companion,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, voice calls, premium characters",$9.99/month,en
PolyBuzz: Chat with AI Friends,android,android,ai.socialapps.speakmaster,https://play.google.com/store/apps/details?id=ai.socialapps.speakmaster&hl=en&gl=us,Entertainment,Mature 17+,3.893384,TRUE,0,TRUE,$0.05 - $299.99 per item,"10,000,000+",CLOUD WHALE INTERACTIVE TECHNOLOGY LLC.,https://app.polybuzz.ai,https://app.polybuzz.ai/static/hy/speakmaster/privacyPolicy/index.html?darkmode=1&darkStyle=1,02-Jun-23,1.78E+12,companion,TRUE,https://polybuzz.ai,TRUE,"email/password, Google, Apple",TRUE,self-declaration,FALSE,FALSE,"premium characters, voice features, image gen, unlimited messages",$9.99/month,"en, zh, ja, ko, es, fr"
Jack - AI Boyfriend,android,android,com.thirtythreeapps.jackchatbot,https://play.google.com/store/apps/details?id=com.thirtythreeapps.jackchatbot&hl=en&gl=us,Communication,Everyone,4.148148,TRUE,0,TRUE,$3.99 - $29.99 per item,"10,000+",Thirty Three Apps,https://thirtythreeapps.com/,https://thirtythreeapps.com/privacypolicy,30-Jan-25,1.77E+12,companion,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, voice calls, premium characters",$9.99/month,en
AI Boyfriend 18+,android,android,com.intimaiforwoman,https://play.google.com/store/apps/details?id=com.intimaiforwoman&hl=en&gl=us,Entertainment,Mature 17+,,TRUE,0,TRUE,$5.49 - $74.99 per item,"10,000+",Controle o Bruxismo e a Ansiedade,,https://privacypolicyintimai.blogspot.com/2024/10/privacy-policy-intimai.html,,1.78E+12,companion,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, voice calls, premium characters",$9.99/month,en
Imate - AI boyfriend who cares,android,android,ai.boyfriend.imate.virtual.companion,https://play.google.com/store/apps/details?id=ai.boyfriend.imate.virtual.companion&hl=en&gl=us,Entertainment,Everyone,4.1923075,TRUE,0,TRUE,$1.49 - $18.99 per item,"10,000+",TDevelopersIndia,,https://p9.notion.site/Privacy-Policy-29f0dcbf7bc480a8b65fc228cc579217?pvs=143,06-Nov-25,1.78E+12,companion,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, voice calls, premium characters",$9.99/month,en
Talkie: Creative AI Community,android,android,com.weaver.app.prod,https://play.google.com/store/apps/details?id=com.weaver.app.prod&hl=en&gl=us,Entertainment,Teen,4.5411787,TRUE,0,TRUE,$0.49 - $199.99 per item,"50,000,000+",SUBSUP,https://talkie-ai.com/,https://talkie-ai.com/static/privacy,16-Jun-23,1.78E+12,other,TRUE,https://www.talkie-ai.com,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited chats, premium characters, image gen, voice calls",$9.99/month,"en, zh, ja, ko, es, fr, de, pt"
AIBoy - Virtual AI Boyfriend,android,android,aiboy.companion.app,https://play.google.com/store/apps/details?id=aiboy.companion.app&hl=en&gl=us,Entertainment,Mature 17+,4.605769,TRUE,0,TRUE,$1.99 - $29.99 per item,"10,000+",Life Plus Fitness,https://aiboy.app,http://aiboy.app/privacy,06-Jan-26,1.78E+12,companion,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, voice calls, premium characters",$9.99/month,en
Anima: My Virtual AI Boyfriend,android,android,ai.boyfriend.virtual.dating.lover.iboy,https://play.google.com/store/apps/details?id=ai.boyfriend.virtual.dating.lover.iboy&hl=en&gl=us,Entertainment,Mature 17+,3.9825175,TRUE,0,TRUE,$0.99 - $199.99 per item,"1,000,000+",LABANE CORP. Limited,https://boyfriend.myanima.ai/,https://boyfriend.myanima.ai/legal/privacy,30-Apr-21,1.78E+12,companion,TRUE,https://myanima.ai,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"romantic mode, voice calls, AR experience, premium outfits, more memories",$9.99/month,"en, es, fr, de, it, pt, ja, ko"
AI Boyfriend:Love Chat Partner,android,android+ios,com.fjsh.alwayssupportiveboyfriend,https://play.google.com/store/apps/details?id=com.fjsh.alwayssupportiveboyfriend&hl=en&gl=us,Entertainment,Everyone,3.6,TRUE,0,FALSE,,"100,000+",fjsh,https://www.fjsh.dev/all,https://www.fjsh.dev/all,10-Aug-24,1.76E+12,companion,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, voice calls, premium characters",$9.99/month,en
My Boyfriend Call Simulator,android,android,com.boyfriendvideocallandchat,https://play.google.com/store/apps/details?id=com.boyfriendvideocallandchat&hl=en&gl=us,Simulation,Everyone,3.37,TRUE,0,FALSE,,"100,000+",Indominus Games,https://indominusgames.com,https://indominusgames.com/privacy/,18-Nov-19,1.70E+12,companion,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, voice calls, premium characters",$9.99/month,en
Crushie Al: Romance AI Chat,android,android,ai.onspace.app,https://play.google.com/store/apps/details?id=ai.onspace.app&hl=en&gl=us,Entertainment,Everyone,4.46789,TRUE,0,TRUE,$0.99 - $109.99 per item,"100,000+",Qianfan Hong Kong Limited,https://www.crushie.ai,https://www.crushie.ai/privacy-policy,24-Feb-25,1.77E+12,companion,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, voice calls, premium characters",$9.99/month,en
LunaPal - Anime AI Roleplayer,android,android,com.makefriendswithluna.aichat,https://play.google.com/store/apps/details?id=com.makefriendswithluna.aichat&hl=en&gl=us,Entertainment,Mature 17+,3.72,TRUE,0,TRUE,$1.99 - $49.99 per item,"100,000+",Quicker Game Team,,https://www.lunapal.xyz/privacypolicy.html,25-Jul-25,1.77E+12,companion,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, voice calls, premium characters",$9.99/month,en
Boyfriend AI: Find True Love,android,android+ios,com.happyapplab.boyfriendai,https://play.google.com/store/apps/details?id=com.happyapplab.boyfriendai&hl=en&gl=us,Dating,Everyone,2.7142856,TRUE,0,TRUE,$1.99 - $6.99 per item,"5,000+",Happy App Lab,http://happyapplab.berkekurnaz.com,https://berkekurnaz.com/privacy.html,06-Jul-24,1.73E+12,companion,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, voice calls, premium characters",$9.99/month,en
LoveyDovey - Dream Chats,android,android,ai.tain.reelso,https://play.google.com/store/apps/details?id=ai.tain.reelso&hl=en&gl=us,Entertainment,Teen,3.41,TRUE,0,TRUE,$0.99 - $74.99 per item,"1,000,000+","TainAI, Inc.",https://assets.adxcorp.kr/redirect?url=https://www.loveydovey.ai,https://tainai.notion.site/d07ae8d665474111b5b7e22de8b0733f?pvs=4,04-Dec-23,1.78E+12,companion,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, voice calls, premium characters",$9.99/month,en
loody: Your AI Companion,android,android+ios,com.buddy.loody,https://play.google.com/store/apps/details?id=com.buddy.loody&hl=en&gl=us,Health & Fitness,Everyone,3.6410255,TRUE,0,TRUE,$4.99 - $59.99 per item,"5,000+",Buddy AI Labs,https://loody.ai/,https://loody.ai/privacy-policy,26-Jun-25,1.77E+12,companion,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, voice calls, premium characters",$9.99/month,en
MatchMe: My Secret Crush,android,android,com.maplehouse.gp.ichat.aa,https://play.google.com/store/apps/details?id=com.maplehouse.gp.ichat.aa&hl=en&gl=us,Role Playing,Teen,3.7,TRUE,0,TRUE,$19.99 - $59.99 per item,"100,000+",Crazy Maple Studio Dev,https://www.crazymaplestudios.com/,http://crazymaplestudios.com/privacy,31-May-23,1.74E+12,companion,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, voice calls, premium characters",$9.99/month,en
Melting – AI Romance Chat,android,android,chat.melting.apppp,https://play.google.com/store/apps/details?id=chat.melting.apppp&hl=en&gl=us,Entertainment,Mature 17+,3.4666667,TRUE,0,TRUE,$0.99 - $124.99 per item,"100,000+",Watnee Inc.,https://melting.chat,https://adaptable-crayon-08b.notion.site/1cbe7cb07ce280ba8464eda8f361139b?pvs=74,20-Jun-25,1.77E+12,companion,TRUE,https://melting.chat,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited chats, voice calls, story progression, premium characters",$9.99/month,"en, ko"
Dialogue: AI Chat & Companion,android,android,com.pheon,https://play.google.com/store/apps/details?id=com.pheon&hl=en&gl=us,Entertainment,Teen,3.4761217,TRUE,0,TRUE,$4.99 - $299.99 per item,"1,000,000+",Pheon,https://pheon.com,https://pheon.com/legal/privacy,29-May-23,1.77E+12,companion,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, voice calls, premium characters",$9.99/month,en
Chacha - AI Anime Chat,android,android,ai.anirole.mobile,https://play.google.com/store/apps/details?id=ai.anirole.mobile&hl=en&gl=us,Entertainment,Teen,4.5454545,TRUE,0,TRUE,$0.99 - $99.99 per item,"10,000+","Kinkaku, Inc",https://anirole.com,https://kinkaku.notion.site/f3797de1d62d405fb6d3640f8758cd9c,27-Sep-25,1.78E+12,mixed,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, premium characters, advanced AI",$9.99/month,en
Dopple.AI,android,android,mobile.dopple.ai,https://play.google.com/store/apps/details?id=mobile.dopple.ai&hl=en&gl=us,Entertainment,Everyone,2.655914,TRUE,0,TRUE,$9.99 - $59.99 per item,"1,000,000+",Dopple,https://beta.dopple.ai/,https://dopple.ai/privacy,14-Nov-23,1.75E+12,mixed,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, premium characters, advanced AI",$9.99/month,en
Virtual AI Girlfriend CoupleAI,android,android,com.smartfy.coupleai,https://play.google.com/store/apps/details?id=com.smartfy.coupleai&hl=en&gl=us,Entertainment,Mature 17+,4.1,TRUE,0,TRUE,$0.49 - $99.99 per item,"100,000+",DictionaryAndTranslator,https://dictionarytranslator.app/coupleai,https://dictionarytranslator.app/coupleai/privacy/,07-Mar-24,1.78E+12,companion,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, voice calls, premium characters",$9.99/month,en
Create your Virtual AI Partner,android,android,ai.goanai.chat,https://play.google.com/store/apps/details?id=ai.goanai.chat&hl=en&gl=us,Entertainment,Everyone,3.877551,TRUE,0,TRUE,$7.99 - $39.99 per item,"100,000+",LunaCat Ivan Marzan,,https://scannerapp.xyz/privacy,03-Feb-26,1.78E+12,companion,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, voice calls, premium characters",$9.99/month,en
Indian AI Boyfriend: Raj,android,android,com.aiboyfriend.raj,https://play.google.com/store/apps/details?id=com.aiboyfriend.raj&hl=en&gl=us,Entertainment,Teen,,TRUE,0,FALSE,,100+,AG ARMY,https://freezeredeemcode.com,https://aiboyfriend.in/PrivacyPolicy.html,01-Feb-26,1.77E+12,companion,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, voice calls, premium characters",$9.99/month,en
FictionLab AI,android,android,ai.fictionlab.app,https://play.google.com/store/apps/details?id=ai.fictionlab.app&hl=en&gl=us,Entertainment,Teen,4.27451,TRUE,0,TRUE,$7.99 per item,"100,000+",FictionLab,https://fictionlab.ai,https://fictionlab.ai/privacy-policy,02-May-25,1.77E+12,companion,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, voice calls, premium characters",$9.99/month,en
Love Chatbot X - AI Characters,android,android,free.ai.chat.gpt.bot.plus.assistant.v3,https://play.google.com/store/apps/details?id=free.ai.chat.gpt.bot.plus.assistant.v3&hl=en&gl=us,Entertainment,Mature 17+,4.504587,TRUE,0,TRUE,$0.99 - $229.99 per item,"100,000+",Real Escape AI Studio,https://a14-chatbot.web.app,https://a14-chatbot.web.app/?app=Sexy%20Chatbot%20X&developer=Real%20Escape%20AI%20Studio,17-Nov-25,1.78E+12,companion,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, voice calls, premium characters",$9.99/month,en
TiKie: AI Fantasy & Roleplay,android,android,com.tikie.ai.android,https://play.google.com/store/apps/details?id=com.tikie.ai.android&hl=en&gl=us,Entertainment,Mature 17+,3.7763975,TRUE,0,TRUE,$0.99 - $199.99 per item,"1,000,000+",Junoverse,https://tikie.ai,https://tikie.ai/policy,27-Nov-24,1.78E+12,companion,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, voice calls, premium characters",$9.99/month,en
Paradot: Personal AI chat,android,android,com.withfeelingai.test,https://play.google.com/store/apps/details?id=com.withfeelingai.test&hl=en&gl=us,Social,Mature 17+,3.9924242,TRUE,0,TRUE,$0.49 - $69.99 per item,"10,000,000+",WITHFEELING.AI,http://www.withfeeling.ai/,https://www.withfeeling.info/app-privacy-policy,23-Feb-23,1.75E+12,companion,TRUE,https://paradot.ai,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messages, voice, memory, gifts, exclusive scenarios",$9.99/month,"en, zh, ja, ko"
Boyfriend Plus,android,android,com.dkc.bfpp,https://play.google.com/store/apps/details?id=com.dkc.bfpp&hl=en&gl=us,Simulation,Mature 17+,3.483871,TRUE,0,TRUE,$2.99 - $6.49 per item,"1,000,000+",Dragon King Creations,https://dragonkingcreation.com/,https://anguscheng.com/boyfriendplus/privacy-policy.html,21-Aug-15,1.75E+12,companion,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, voice calls, premium characters",$9.99/month,en
Secret AI: Local AI Chat,android,android,io.secretai.llm,https://play.google.com/store/apps/details?id=io.secretai.llm&hl=en&gl=us,Productivity,Teen,2.7631578,TRUE,0,TRUE,$4.99 - $119.99 per item,"10,000+",Secret AI,https://secretai.io,https://secretai.io/legal/en/privacy,12-May-25,1.78E+12,general_purpose,FALSE,,TRUE,"email/password, Google, Apple",FALSE,,FALSE,FALSE,"extended usage, premium AI models",$9.99/month,en
Blush: AI Dating Simulator,android,android+ios,ai.blush,https://play.google.com/store/apps/details?id=ai.blush&hl=en&gl=us,Entertainment,Mature 17+,4.4095426,TRUE,0,TRUE,$0.99 - $149.99 per item,"1,000,000+",Blush AI,https://blush.ai,https://blush.ai/legal/privacy,19-Sep-23,1.78E+12,mixed,TRUE,https://blush.ai,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited scenarios, premium characters, custom avatars, voice",$12.99/month,en
Partner - Your AI Companion,android,android,com.myapp.partner,https://play.google.com/store/apps/details?id=com.myapp.partner&hl=en&gl=us,Social,Everyone,2.1666667,TRUE,0,TRUE,$5.99 - $22.99 per item,"1,000+",IndCreative,,https://www.privacypolicies.com/live/7f3d6b98-0d9e-4527-befa-18cde6a4cafc,16-Oct-24,1.76E+12,companion,FALSE,,TRUE,"email/password, Google, Apple",TRUE,self-declaration,TRUE,FALSE,"unlimited messaging, voice calls, premium characters",$9.99/month,en
